date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:28	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2020:16:03%20GMT	http://snap.berkeley.edu/robots.txt		(from )
16:16:28	2179/2179	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2020:16:03%20GMT	http://snap.berkeley.edu/hoc/	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/index.html	(from )
16:16:28	1733/1733	---M--	200	added ('OK')	text/css	etag:%2232ee965-6c5-4eccf34db1100%22	http://snap.berkeley.edu/hoc/style.css	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/style.css	(from http://snap.berkeley.edu/hoc/)
16:16:29	93107/93107	---M--	200	added ('OK')	application/x-javascript	etag:%221357535-16bb3-4ec191acfb4c0%22	http://snap.berkeley.edu/hoc/jquery-1.10.2.min.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/jquery-1.10.2.min.js	(from http://snap.berkeley.edu/hoc/)
16:16:30	102596/102596	---M--	200	added ('OK')	text/css	etag:%2222ec1af-190c4-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css	(from http://snap.berkeley.edu/hoc/)
16:16:32	27832/27832	---M--	200	added ('OK')	application/x-javascript	etag:%2222ec1b6-6cb8-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/js/bootstrap.min.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/js/bootstrap.min.js	(from http://snap.berkeley.edu/hoc/)
16:16:33	20482/20482	---M--	200	added ('OK')	application/x-javascript	etag:%222840f45-5002-4ec191aee3940%22	http://snap.berkeley.edu/hoc/sha512.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/sha512.js	(from http://snap.berkeley.edu/hoc/)
16:16:33	10656/10656	---M--	200	added ('OK')	application/x-javascript	etag:%226ec288-29a0-4ecd7de725040%22	http://snap.berkeley.edu/hoc/runme.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/runme.js	(from http://snap.berkeley.edu/hoc/)
16:16:35	890/890	---M--	200	added ('OK')	image/gif	etag:%22d54ad2-37a-4e60ea31781c0%22	http://snap.berkeley.edu/fav3.gif	C:/snap-hoc/HOC/snap.berkeley.edu/fav3.gif	(from http://snap.berkeley.edu/hoc/)
16:16:35	2097/2097	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2020:16:10%20GMT	http://snap.berkeley.edu/hoc/snap.html	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/snap.html	(from http://snap.berkeley.edu/hoc/)
16:16:37	11979/11979	---M--	200	added ('OK')	image/png	etag:%222d42e7d-2ecb-4ec191acfb4c0%22	http://snap.berkeley.edu/hoc/images/snaplogo.png	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/images/snaplogo.png	(from http://snap.berkeley.edu/hoc/)
16:16:39	20290/20290	---M--	200	added ('OK')	text/plain	etag:%2222ec1b0-4f42-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.eot	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css)
16:16:41	23292/23292	---M--	200	added ('OK')	text/plain	etag:%2222ec1b4-5afc-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css)
16:16:42	20290/20290	---M--	200	added ('OK')	text/plain	etag:%2222ec1b0-4f42-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.eot?	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css)
16:16:42	81643/81643	---M--	200	added ('OK')	image/png	etag:%222d42e7c-13eeb-4ec191acfb4c0%22	http://snap.berkeley.edu/hoc/images/bjc200.png	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/images/bjc200.png	(from http://snap.berkeley.edu/hoc/)
16:16:43	62850/62850	---M--	200	added ('OK')	image/svg+xml	etag:%2222ec1b1-f582-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css)
16:16:45	229/229	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2020:16:18%20GMT	http://snap.berkeley.edu/hoc/Popover%20requires%20tooltip.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/Popover%20requires%20tooltip.f.delayed	(from http://snap.berkeley.edu/hoc/bootstrap/js/bootstrap.min.js)
16:16:45	205/205	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Sep%202014%2020:16:20%20GMT	http://snap.berkeley.edu/hoc/get	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/get	(from http://snap.berkeley.edu/hoc/runme.js)
16:16:45	126/126	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2020:16:21%20GMT	http://snap.berkeley.edu/hoc/store/store.php	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/store/store.html	(from http://snap.berkeley.edu/hoc/runme.js)
16:16:45	100/100	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2020:16:21%20GMT	http://snap.berkeley.edu/hoc/congrats.html	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/congrats.html	(from http://snap.berkeley.edu/hoc/runme.js)
16:16:46	2939/2939	---M-Z	200	added ('OK')	text/html	date:Sat,%2027%20Sep%202014%2020:16:21%20GMT	http://snap.berkeley.edu/hoc/full-interface/snap.html	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/full-interface/snap.html	(from http://snap.berkeley.edu/hoc/runme.js)
16:16:49	298763/298763	---M--	200	added ('OK')	application/x-javascript	etag:%222840f36-48f0b-4ec191aee3940%22	http://snap.berkeley.edu/hoc/morphic.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/morphic.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:51	85831/85831	---M--	200	added ('OK')	application/x-javascript	etag:%2240d71b-14f47-4ec191b0cbdc0%22	http://snap.berkeley.edu/hoc/widgets.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/widgets.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:52	41236/41236	---M--	200	added ('OK')	text/plain	etag:%2222ec1b3-a114-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://snap.berkeley.edu/hoc/bootstrap/css/bootstrap.min.css)
16:16:53	285042/285042	---M--	200	added ('OK')	application/x-javascript	etag:%22298b5b2-45972-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/blocks.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/blocks.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:55	88615/88615	---M--	200	added ('OK')	application/x-javascript	etag:%22ec2979-15a27-4ec191aee3940%22	http://snap.berkeley.edu/hoc/threads.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/threads.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:57	187415/187415	---M--	200	added ('OK')	application/x-javascript	etag:%226ec287-2dc17-4ecd7de725040%22	http://snap.berkeley.edu/hoc/objects.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/objects.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:16:59	185988/185988	---M--	200	added ('OK')	application/x-javascript	etag:%2234213fc-2d684-4eccf39814080%22	http://snap.berkeley.edu/hoc/gui.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/gui.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:01	29397/29397	---M--	200	added ('OK')	application/x-javascript	etag:%222840f38-72d5-4ec191aee3940%22	http://snap.berkeley.edu/hoc/paint.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/paint.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:02	18004/18004	---M--	200	added ('OK')	application/x-javascript	etag:%222473c50-4654-4ec191adef700%22	http://snap.berkeley.edu/hoc/lists.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/lists.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:04	92374/92374	---M--	200	added ('OK')	application/x-javascript	etag:%22298b5b3-168d6-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/byob.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/byob.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:05	11206/11206	---M--	200	added ('OK')	application/x-javascript	etag:%2240d71c-2bc6-4ec191b0cbdc0%22	http://snap.berkeley.edu/hoc/xml.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/xml.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:07	57234/57234	---M--	200	added ('OK')	application/x-javascript	etag:%222840f48-df92-4ec191aee3940%22	http://snap.berkeley.edu/hoc/store.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/store.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:07	8492/8492	---M--	200	added ('OK')	application/x-javascript	etag:%222473c51-212c-4ec191adef700%22	http://snap.berkeley.edu/hoc/locale.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/locale.js	(from http://snap.berkeley.edu/hoc/snap.html)
16:17:07	18119/18119	---M--	200	added ('OK')	application/x-javascript	etag:%221357530-46c7-4ec191aa1ee00%22	http://snap.berkeley.edu/hoc/cloud.js	C:/snap-hoc/HOC/snap.berkeley.edu/hoc/cloud.js	(from http://snap.berkeley.edu/hoc/snap.html)
